mobile_name,mobile_price,mobile_color,Sims,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,Brand,5G_connectivity,VOLTE_connectivity,4G_connectivity,3G_connectivity,2G_connectivity,primary_cam,secondary_cam,tertiary_cam,quaternary_cam,Low_light_sensor,f_cam_primary,f_cam_secondary
Narzo 10A ,8999,White,2,6.52,HD+,Android 10,Octa Core,2.0,32,3,5000,75.0,164.4,8.95,195.0,Realme,No,Yes,No,Yes,Yes,12,2,2,0,No,5,0
Narzo 10A ,8999,Blue,2,6.52,HD+,Android 10,Octa Core,2.0,32,3,5000,75.0,164.4,8.95,195.0,Realme,No,Yes,No,Yes,Yes,12,2,2,0,No,5,0
Narzo 10A ,9999,Blue,2,6.52,HD+,Android 10,Octa Core,2.0,64,4,5000,75.0,164.4,8.95,195.0,Realme,No,Yes,No,Yes,Yes,12,2,2,0,No,5,0
Narzo 10A ,9999,White,2,6.52,HD+,Android 10,Octa Core,2.0,64,4,5000,75.0,164.4,8.95,195.0,Realme,No,Yes,No,Yes,Yes,12,2,2,0,No,5,0
Narzo 10 ,11999,Green,2,6.5,HD+,Android 10,Octa Core,2.0,128,4,5000,75.4,164.4,9.0,199.0,Realme,No,Yes,No,Yes,Yes,48,8,2,2,No,16,0
Narzo 10 ,11999,White,2,6.5,HD+,Android 10,Octa Core,2.0,128,4,5000,75.4,164.4,9.0,199.0,Realme,No,Yes,No,Yes,Yes,48,8,2,2,No,16,0
5 Pro ,14999,Green,2,6.3,FHD+,Android Pie 9,Octa Core,2.3,64,6,4035,74.2,157.0,8.9,184.0,Realme,No,Yes,No,Yes,Yes,48,8,2,2,No,16,0
5 Pro ,16999,Green,2,6.3,FHD+,Android Pie 9,Octa Core,2.3,128,8,4035,74.2,157.0,8.9,184.0,Realme,No,Yes,No,Yes,Yes,48,8,2,2,No,16,0
5 Pro ,16999,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.3,128,8,4035,74.2,157.0,8.9,184.0,Realme,No,Yes,No,Yes,Yes,48,8,2,2,No,16,0
5 Pro ,13999,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.3,64,4,4035,74.2,157.0,8.9,184.0,Realme,No,Yes,No,Yes,Yes,48,8,2,2,No,16,0
X2 Pro ,35999,White,2,6.5,FHD+,Android Pie 9,Octa Core,2.96,256,12,4000,75.7,161.0,8.7,199.0,Realme,No,Yes,No,Yes,Yes,64,13,8,2,No,16,0
X2 Pro ,35999,Blue,2,6.5,FHD+,Android Pie 9,Octa Core,2.96,256,12,4000,75.7,161.0,8.7,199.0,Realme,No,Yes,No,Yes,Yes,64,13,8,2,No,16,0
